,product
205,"['大街市 - 香酥魚手指(2件裝)(急凍-18°C)#炸物#氣炸', '$ 59.80']"
206,"['Aqua East - 冰島格陵蘭比目魚(360g) #急凍#海鮮#燒#煎', '$ 40.00']"
207,"['渡邊水產 - 挪威鯖花魚柳(急凍-18°C)#海鮮#煎焗#氣炸', '$ 32.90']"
208,"['雷澳美食 - 卡美牌急凍三文魚鮫 (急凍-18°C存放)有180天保存期(出貨日起計)', '$ 59.90']"
209,"['LEADER MARINE - 急凍越南石斑魚片', '$ 55.00']"
210,"['MyFridge - 挪威三文魚(指定魚腩部位原整一大件，帶皮) (Skin Pack包裝) 約220-250g #無添加#無防腐劑', '$ 76.90']"
211,"['本土養殖 - 黑鱲魚M 無須再洗 一開即煮 (急凍)', '$ 168.00']"
212,"['全城熱賣 - [海] · ❤️e閃購❤️ 蘋果木煙燻挪威三文魚 (100g± ❎ 2 煙三文魚) #salessea', '$ 89.90']"
213,"['34° Natural Food - 美國銀鱈魚扒 2 塊裝 (急凍 -18°C) 300g', '$ 78.00']"
214,"['- - 吞拿魚方塊 (500g) #急凍 #刺身 #Poke #魚生', '$ 88.00']"
215,"['TASTIBUY - 台灣午仔魚(馬友魚) 一條裝270g+ 已去除內臟及魚鱗(急凍)', '$ 53.00']"
216,"['Siam - 格陵蘭比目魚扒 (400g)(3-4塊) #魚 #三文魚 #銀雪魚 #海鮮 #蝦 #生酮 #氣炸鍋', '$ 75.00']"
217,"['本土養殖 - 本目鱸扒M（鱸魚扒）無須再洗 一開即煮（急凍）', '$ 130.00']"
218,"['寶達 - 活凍泥猛 (已去除魚鱗及內臟) (冰鮮)', '$ 28.00']"
219,"['Ocean Three - 越南海鱸魚柳#急凍#海鮮#煎焗', '$ 43.90']"
220,"['鮮魚薈 - 冰鮮金線魚(瓜衫)(去頭去臟去鱗) 冰鮮0-4°C)', '$ 38.00']"
221,"['尚上品 - 紐西蘭有皮帝皇三文魚 (140克) (急凍)', '$ 79.80']"
222,"['寶達 - 寶達 - 東星斑 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 298.00']"
223,"['鮮魚薈 - 冰鮮格零蘭比目魚扒4塊裝 (冰鮮0~4度)', '$ 88.00']"
224,"['海產佬市集 - 即食魷魚仔 (急凍-18°C)', '$ 53.90']"
225,"['Ocean Three - 格陵蘭比目魚扒#急凍#海鮮#煎焗', '$ 56.90']"
226,"['全城熱賣 - [海] · ❤️e閃購❤️ 美國阿拉斯加銀鱈魚柳 (360g± 銀鱈魚柳) #salessea', '$ 99.90']"
227,"['PrimeFood - 台灣秋刀魚 (急凍:存放-18℃)#海鮮#煎#煮#炸#蛋白質', '$ 21.50']"
228,"['海產佬市集 - 日本產赤鮭 (海捕紅三文魚)一夜干 ︱紅鮭の塩漬切身 ︱ (急凍-18°C)', '$ 78.00']"
229,"['寶達 - 墨魚刺身 (20片)(急凍-18°C)#爽口彈牙#鮮嫩#解凍即食', '$ 27.80']"
230,"['漁鮮快遞  - 左口魚群邊刺身20片(急凍)', '$ 38.00']"
231,"['德仕高 - 日本油甘魚鮫 (2-3片)(急凍)', '$ 100.00']"
232,"['雷澳美食 - Polyfood 煙三文魚(急凍存放-18°C)有180天保存期(出貨日起計)', '$ 43.00']"
233,"['34° Natural Food - 金湯酸菜魚 (急凍 -18°C) 405g', '$ 49.00']"
234,"['鯨魚仔 - 比目魚塊（去皮）300g #急凍 #海鮮 #魚柳 #比目魚', '$ 58.00']"
235,"['MyFridge - 越南特大急凍鯰魚柳, ASC認證 , 一包兩大條(每條220g up), 一包總重約500g #生酮#無添加#無防腐劑#炸魚薯條#粟米魚塊', '$ 42.90']"
236,"['Chop Chop - 美國野生銀雪魚扒 300-350g (急凍) #烤焗 #煎煮', '$ 127.00']"
237,"['屋台 - 優質多春魚 (8條/盤 120g) #氣炸 #烤焗 #煎煮 #BBQ #燒烤 #party #海鮮 #佐酒 #日式', '$ 18.00']"
238,"['德仕高 - 法國白鱈魚扒(急凍)', '$ 185.00']"
239,"['真味市場 - 智利三文魚扒 (約500克) (急涷 -18 C )', '$ 60.00']"
240,"['吉永家 - 日式蒲燒汁鰻魚 125g (急凍)', '$ 45.00']"
241,"['Siam - 智利三文魚扒(2-3塊中-細) #魚 #海鮮 #魚片 #魚扒', '$ 78.00']"
242,"['鯨魚仔 - 三文魚鰭 (500g) (急凍 -18°C)', '$ 43.00']"
243,"['鱻 - 手打鯪魚餅(香蔥味) (急凍 -18℃)', '$ 68.00']"
244,"['鮮魚薈 - 冰鮮澳洲塔斯曼尼亞新鮮三文魚柳 *已去鱗/帶皮*(冰鮮0-4°C)', '$ 98.00']"
245,"['海產佬市集 - 澳洲塔斯曼尼亞急凍三文魚柳(2件裝)(急凍-18°C)', '$ 188.00']"
246,"['德仕高 - 挪威進口Leroy煙三文魚(挪威彩虹鱒魚) (350克)', '$ 148.00']"
247,"['鮮魚薈 - 冰鮮黃腳立魚(去鱗去鰓去臟)附送薑蔥(冰鮮0-4°C)', '$ 68.00']"
248,"['CookCookLand - 格陵蘭比目魚扒 (2-3塊) 400g (急凍)', '$ 75.00']"
249,"['CookCookLand - 手打陳皮香蔥鯪魚餅 200g (急凍)', '$ 25.00']"
250,"['大榮食品 - 日式蒲燒鰻魚粒(急凍)', '$ 64.80']"
251,"['寶達 - 挪威三文魚腩刺身 (新鮮) 300g', '$ 138.00']"
252,"['金星牌 Superstar - 阿拉斯加/加拿大急凍比目魚扒，肉質嫩滑。香煎更可口。', '$ 38.00']"
253,"['寶達 - 日式希靈魚刺身 (130g)', '$ 34.50']"
254,"['海產佬市集 - 急凍日本*京都水鮮*【金の味噌】西京漬 - 赤魚柳(急凍-18°)', '$ 58.00']"
255,"['Ocean Three - 急凍多春魚#燒烤#煎炸 #9D', '$ 28.00']"
256,"['寶達 - 活凍鱲魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 80.71']"
257,"['LEADER MARINE - 急凍日式鹽漬三文魚', '$ 73.00']"
258,"['激安百貨 - 天然野生捕捉 Canada 三文魚 柳 300g (急凍-18)', '$ 98.00']"
259,"['大榮食品 - 日式多春魚(急凍)', '$ 24.90']"
260,"['全城熱賣 - (橙)三文魚魚生(鮭魚-奶素) 230g (急凍-18°C) 素食 素三文魚', '$ 53.00']"
261,"['海產佬市集 - 急凍日本◆美味の海◆ 秋鮭(三文魚柳) 5塊裝 (去骨) 300克 (急凍-18°C)', '$ 95.00']"
262,"['PrimeFood - 中國 陸拾年老師傅 熟烤魚 麻辣味 (急凍:存放-18℃)#海鮮#微波爐#水煮', '$ 69.90']"
263,"['foodies - [優惠孖裝]格靈蘭比目魚扒(急凍-18°C)#海鮮#煎焗#蒸', '$ 78.00']"
264,"['寶達 - 正宗金湯酸菜魚 480g', '$ 66.70']"
265,"['全城熱賣 - [海] · ❤️e閃購❤️ 格陵蘭野生比目魚柳 (350g 比目魚柳) 有皮去骨 [急凍-18ºC] 新舊包裝隨機出貨 #salessea', '$ 59.90']"
266,"['Ocean Three - 挪威(大西洋)三文魚扒 #急凍#海鮮#鐵板#煎焗', '$ 64.90']"
267,"['尚蔡 - 北海道花魚一夜干M size 150-350g', '$ 58.00']"
268,"['JASS - 台灣生凍吻仔魚', '$ 42.00']"
269,"['Ocean Three - 野生有皮紅魚柳#急凍#10C', '$ 34.90']"
270,"['全城熱賣 - [海] · ❤️e閃購❤️ 花魚一夜干 (300g± 一夜干 ) 急涷 #salessea', '$ 42.90']"
271,"['全城熱賣 - [海] · ❤️e閃購❤️ 蘋果木煙燻挪威三文魚 (100g± 煙三文魚) #salessea', '$ 49.90']"
272,"['尚上品 - 紐西蘭無骨去皮HOKI鱈魚柳（440克/4條/包） (急凍) #香煎 #氣炸 #海鮮 #易煮 #MSC 可持續海產品', '$ 63.80']"
273,"['PrimeFood - 中國 陸拾年老師傅 金湯酸菜魚 (急凍:存放-18℃)', '$ 52.90']"
274,"['全城熱賣 - (鰻片)蒲燒素鰻片(蛋奶素) 300g (急凍-18°C) (內有8小片) 素食 素魚 曼魚 鰻魚', '$ 53.00']"
275,"['鮮魚薈 - 冰鮮美國海捕銀鱈魚柳 200克(冰鮮0-4°C)', '$ 138.00']"
276,"['漁鮮快遞  - 立魚柳 (2塊) (400-500g)(急凍)', '$ 44.00']"
277,"['海產佬市集 - 急凍八爪魚仔 (急凍-18°C)', '$ 38.00']"
278,"['Ocean Three - 飛魚籽 #急凍#壽司#解凍即食', '$ 39.90']"
279,"['海產佬市集 - 急凍即食八爪魚(切粒) (急凍-18°C)', '$ 75.00']"
280,"['CookCookLand - 美國銀鱈魚扒 (1-2件裝) 300g (急凍)', '$ 120.00']"
281,"['香港 - Kilo Calo 檸檬刁草味即食雕魚240克 (1件)(急凍-18°C) ［健身 健康 魚肉 急凍 凍肉 減肥 預食 三文魚 香港製造］', '$ 75.90']"
282,"['本土養殖 - 本福鯧魚扒S（石鯧魚扒）無須再洗 一開即煮（急凍）', '$ 130.00']"
283,"['鱻 - 酸菜魚套餐C(配無骨脆肉鯇魚片) (急凍 -18℃)', '$ 126.00']"
284,"['鯨魚仔 - 銀鱈魚扒(300g 2片 急凍)#鱈魚#海鮮#海魚#燒烤#小菜#煎焗', '$ 68.00']"
285,"['Beiralula - 葡萄牙急凍沙典魚，單凍無冰，含豐富鈣質。', '$ 55.00']"
286,"['海產佬市集 - 狹雪魚柳 454克 (急凍-18°C)', '$ 38.80']"
287,"['鮮魚薈 - 冰鮮紐西蘭海捕青衣魚柳(冰鮮0-4°C)#海鮮#煎#焗', '$ 78.00']"
288,"['Ocean Three - 馬來西亞原條白鯧魚#急凍#海鮮#煎焗', '$ 34.90']"
289,"['frozen - 越南鯰魚柳 ASC 500g (急凍-18°C)(4897010670219) #海鮮#氣炸#煎焗', '$ 29.00']"
290,"['鮮魚薈 - *京都水鮮*※日本柚子塩麹漬 - 鲭魚柳 ( 2塊裝)(冰鮮0~4度)', '$ 48.80']"
291,"['全城熱賣 - [海] · ❤️e閃購❤️ 挪威三文魚鰭 (500g± 三文魚鰭) #salessea', '$ 49.90']"
292,"['Siam - 急凍加拿大帶子(200g+) #海鮮 #魚 #貝殼 #青口 #蝦', '$ 48.00']"
293,"['大榮食品 - 開邊鯖魚柳(急凍)', '$ 15.00']"
294,"['PrimeFood - 日本鳥取蒸燒鯖魚柳 (急凍:存放-18℃)', '$ 47.50']"
295,"['寶達 - 活凍深海花猛魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 60.00']"
296,"['Siam - 特大鯰魚柳 (454g) #魚 #三文魚 #銀雪魚 #海鮮 #蝦', '$ 39.90']"
297,"['本土養殖 - 本目鱸扒S（鱸魚扒）無須再洗 一開即煮（急凍）', '$ 95.00']"
298,"['CoolFood - 挪威優質即食煙三文魚 #煙熏香#冷盤#配意粉#海產#海鮮#即食三文魚#蛋白質#Omega3#配沙律#配pizza#派對食物#Party食物 (急凍)', '$ 229.90']"
299,"['Siam - 智利三文魚扒(1-1.5塊共 240g) #魚 #海鮮 #魚片 #魚扒', '$ 49.00']"
300,"['德仕高 - 日本醋鯖魚(急凍)', '$ 33.00']"
301,"['TASTIBUY - ［魚欄直送］黃立倉一條裝270g+ (急凍)', '$ 38.00']"
302,"['Ocean Three - 無骨脆肉鯇魚片#火鍋#打邊爐#炒餸', '$ 78.00']"
303,"['台灣入口 - 台灣蒲燒秋刀魚(獨立裝) 100克', '$ 25.00']"
304,"['雷澳美食 - 卡美牌急凍三文魚套餐 (急凍-18°C存放)有180天保存期(出貨日起計)', '$ 78.00']"
305,"['雷澳美食 - 熱煙青檸鹽風味有皮三文魚件 (3件裝)(急凍-18°C存放)每天新鮮製造，有180天保存期(出貨日起計)', '$ 98.00']"
306,"['漁家 - ［魚欄直送］黃立倉一條裝330g+ (急凍)', '$ 48.00']"
307,"['Siam - 野生原條紅鯛魚 (230g) #魚 #三文魚 #銀雪魚 #海鮮 #蝦', '$ 48.00']"
308,"['寶達 - 韓國 醬油三文魚 250g', '$ 78.00']"
309,"['尚煮食品 - 挪威鱈魚柳 (1包4件) #急凍#海鮮#燒#煎', '$ 128.00']"
310,"['PrimeFood - 日式 Nova Marine 蒲燒鰻魚 約330克 (急凍:存放-18℃)#微波爐', '$ 102.50']"
311,"['寶達 - 活凍秋刀魚 (已去除魚鱗及內臟) (冰鮮)', '$ 28.00']"
312,"['Ocean Three - 越南(無皮)鯰魚柳(急凍-18°C)#海鮮#氣炸#煎焗', '$ 34.90']"
313,"['34° Natural Food - 挪威去骨無皮比目魚柳(急凍 -18°C) 240g #急凍#海鮮#氣炸#煎焗#挪威#比目魚', '$ 44.90']"
314,"['34° Natural Food - 一夜干黃花魚 (急凍 -18°C) 240-290g', '$ 45.90']"
315,"['水天堂 - 上海熏魚 750g (急凍-18C)', '$ 148.00']"
316,"['寶達 - 烏頭魚 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 39.50']"
317,"['Alaska seafood - 美國阿拉斯加銀雪魚扒 (急凍-18°C) (魚腩)', '$ 118.00']"
318,"['德仕高 - 法國白鱈魚鮫 (300-350克)(急凍)', '$ 150.00']"
319,"['海產佬市集 - 海捕紅魚扒(2塊裝)300g(急凍-18°C)', '$ 52.00']"
320,"['CookCookLand - 日本油甘魚鮫 (2-3件裝) 約400-450g (急凍)', '$ 138.00']"
321,"['鱻 - 鴛鴦魚頭(急凍 -18℃) (此日期前最佳: 2023年4月6日)', '$ 40.00']"
322,"['鯨魚仔 - 挪威三文魚腩條(毛重 500g)#氣炸#燒烤#小食#小菜', '$ 58.00']"
323,"['漁鮮快遞 - 日本醋青魚120g(未切)(急凍)', '$ 28.00']"
324,"['鯨魚仔 - 優質挪威三文魚扒(340g 急凍) #氣炸 #海鮮 #烤焗 #香煎 #燒烤 #小菜', '$ 49.00']"
325,"['34° Natural Food - 越南有皮石斑魚柳 (急凍 -18°C) 280g', '$ 46.90']"
326,"['蔡市場 - 大西洋三文魚頭 300-600g', '$ 29.90']"
327,"['CookCookLand - 美國銀鱈魚扒 240g (急凍) #煎 #焗 #煙薰 #照燒 #西京燒', '$ 152.00']"
328,"['本土養殖 - 本福鯧魚骨 無須再洗 一開即煮（急凍）', '$ 45.00']"
329,"['TASTIBUY - 魚欄直送-台灣午仔魚(馬友魚) 一條裝 約300g 已去除內臟及魚鱗(急凍)', '$ 63.00']"
330,"['34° Natural Food - 老壇酸菜魚 (急凍 -18°C) 405g', '$ 49.00']"
331,"['全城熱賣 - [海] · ❤️e閃購❤️ Akaroa King 紐西蘭 (140g± 帝王三文魚柳) 有皮/急凍 #salessea', '$ 69.90']"
332,"['34° Natural Food - 西京燒美國銀鱈魚柳(急凍 -18°C) 280g #西京燒 #銀鱈魚 #銀鱈魚柳 #美國', '$ 78.00']"
333,"['尚蔡 - 挪威煙三文魚(鱒魚)', '$ 128.00']"
334,"['海的 - 免漿脆肉鯇魚片250g(急凍18℃)', '$ 45.00']"
335,"['急凍皇后 - IQF 龍脷魚柳 #海鮮#氣炸#煎焗#炸物#魚柳 454g+ (急凍-18°C)', '$ 39.00']"
336,"['雷澳美食 - 熱煙青檸鹽風味有皮三文魚件 (急凍-18°C存放)每天新鮮製造，有180天保存期(出貨日起計)', '$ 48.00']"
337,"['台灣入口 - 台灣虱目魚肚180g#營養價值超高#無刺虱目魚肚', '$ 102.00']"
338,"['本土養殖 - 本目鱸魚骨 無須再洗 一開即煮（急凍）', '$ 45.00']"
339,"['CookCookLand - 美國阿拉斯加野生有皮紅魚柳 (2件裝) 300-350g (急凍)', '$ 65.00']"
340,"['本土養殖 - 本目鱸魚頭（已開邊，每包4塊）無須再洗 一開即煮（急凍）', '$ 60.00']"
341,"['Ocean Three - 馬來西亞金線魚#急凍#海鮮#煎焗', '$ 36.90']"
342,"['Peter’s Butchery and Kitchen - 新界魚市場: 生魚 (0-4°C)', '$ 40.00']"
343,"['激安百貨 - 頂級 日本鳥取 蒸燒鯖魚片 - 冇骨 (160g/1包)(急凍-18) JP直送到香港 日本餐廳系列', '$ 59.00']"
344,"['漁家 - 魚欄直送-台灣午仔魚(馬友魚)兩條裝共約650g 已去除內臟及魚鱗(急凍)', '$ 112.00']"
345,"['寶達 - 韓國 生醃辣醬明太魚腸 300g', '$ 60.00']"
346,"['寶達 - 香草煙三文魚柳 (急凍) 60g', '$ 28.00']"
347,"['FoodWise - 阿拉斯加野生紅魚柳, 350g', '$ 55.00']"
348,"['CoolFood - 日本直送！北海黃希靈魚刺身(解凍即食約130g) #即食#蘸芥末醬油#鯡魚#醃製#爽脆魚籽#壽司#魚生(急凍)', '$ 47.90']"
349,"['CookCookLand - 美國迷你銀鱈魚扒 (2-3件) 200g (急凍) #煎 #焗 #煙燻 #照燒 #西京燒', '$ 80.00']"
350,"['寶達 - 寶達 - 花金鼓 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 208.00']"
351,"['尚煮食品 - 美國SPC銀鱈魚柳(約400-500g) #急凍#海鮮#燒#煎', '$ 178.00']"
352,"['Hoki - 紐西蘭 HOKI 鱈魚柳 (急凍 - 零下18度)', '$ 63.80']"
353,"['CookCookLand - 挪威煙三文魚 500克/包 (急凍)', '$ 139.00']"
354,"['鵬鵬凍肉 - 厚切三文魚扒 (250克 - 急凍-18°C)', '$ 40.00']"
355,"['鯨魚仔 - 格陵蘭比目魚扒（400g）#急凍 #魚扒 #海鮮 #香煎', '$ 56.00']"
356,"['Foodianna - [海] · ❤️e閃購❤️ 日本半月油甘魚鮫 (250g± 半月油甘魚鮫 ) #salessea', '$ 63.90']"
357,"['全城熱賣 - [海] · ❤️e閃購❤️ 挪威鯖魚柳原味(2pcs/pack 300g± 原味鯖魚柳) #salessea', '$ 26.90']"
358,"['海獅 - 香港海獅牌墨魚滑 約200g #火鍋#打邊爐#墨魚丸', '$ 49.90']"
359,"['Sea mate - 冷凍開邊鯖魚 ( 200g ) (急凍 - 零下18度)', '$ 26.90']"
360,"['海的 - 厚切脆鯛魚片200g(免漿)(急凍18℃)', '$ 29.00']"
361,"['寶達 - 鸚哥魚 (已去除內臟) (冰鮮) (冷凍 0-4°C)', '$ 46.92']"
362,"['安記海味 - 日本公魚乾 (225克)【急凍-18℃】 (#8230)', '$ 45.00']"
363,"['Mt Cook - 紐西蘭帝王三文魚柳#急凍#海鮮#燒#煎#氣炸', '$ 128.00']"
364,"['廚神工房 - 挪威三文魚腩(500G)(急凍)#氣炸鍋', '$ 48.00']"
365,"['新榮棧 - 急凍挪威煙三文魚(-18°C, 約500g)', '$ 125.00']"
366,"['OASIS - ""綠洲""花尾龍躉魚柳 (急凍)', '$ 125.00']"
367,"['34° Natural Food - 西京燒格陵蘭比目魚柳(急凍 -18°C) 280g #西京燒 #比目魚 #比目魚柳 #格陵蘭', '$ 48.00']"
368,"['Chop Chop - 北海道花魚一夜干 300-350g (急凍)', '$ 60.00']"
369,"['CookCookLand - 免漿無骨黑魚片 (厚切) 250g (急凍)', '$ 45.00']"
370,"['34° Natural Food - 免漿脆肉鯛魚片(急凍 -18°C) 200g', '$ 29.00']"
371,"['雷澳美食 - Master Gourmet加拿大比目魚扒切件 3/4"" (急凍-18°C存放)有180天保存期(出貨日起計)', '$ 60.00']"
372,"['德仕高 - 法國白鱈魚柳(急凍)', '$ 180.00']"
373,"['TASTIBUY - ［魚欄直送］深海黃花魚1條裝 220+(2-4人份) (急凍)', '$ 28.80']"
374,"['Kuhlbarra - 盲曹魚柳 200g', '$ 93.00']"
375,"['寶達 - 寶達 - 老虎斑 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 178.00']"
376,"['尚煮食品 - 法國白鱈魚柳(260-320g) #急凍#海鮮#燒#煎', '$ 180.00']"
377,"['34° Natural Food - 挪威去骨有皮比目魚柳(急凍 -18°C) 240g #急凍#海鮮#氣炸#煎焗#挪威#比目魚', '$ 42.90']"
378,"['廚神工房 - 日式蒲燒鰻魚120克 (急凍)(適合氣炸鍋)', '$ 45.00']"
379,"['CookCookLand - 日本蒸燒鯖魚柳 160g(急凍)', '$ 52.00']"
380,"['Foodie Yard - 希臘野生捕獲鯷魚(急凍 -18°C) #生酮 #無添加劑及防腐劑 #生酮飲食 #簡單易煮 #無激素 #低碳 #火鍋 #燒肉', '$ 96.00']"
381,"['GNA HK - 韓國高湯用大鯷魚乾(急凍)', '$ 108.00']"
382,"['漁鮮快遞  - 味付鯛魚片350g(去骨帶皮) (急凍)', '$ 46.00']"
383,"['Manna J - 挪威煙三文魚 500克', '$ 148.00']"
384,"['鯨魚仔 - 有頭開邊生鰻魚(900g+ 去內臟，急凍) #海鮮 #烤焗 #香煎 #燒烤 #紅燒 #鐵板 #小菜 #日式 #串燒 #火鍋', '$ 268.00']"
385,"['三斗米良食店 - 魚肉燒賣 (480g / 35粒) (急凍-18°C) #燒賣#金龍魚肉燒賣#燒賣關注組#點心', '$ 36.00']"
386,"['漢廷 - 急凍金線魚 85-145g(2條) (skin pack) 250g (急凍)', '$ 25.00']"
387,"['漢廷 - 300克 - 急凍野生原條海石斑魚 (急凍) #家常便飯 #煎 #蒸 #烤 #焗', '$ 35.00']"
388,"['CookCookLand - 挪威煙三文魚 100g (急凍)', '$ 43.00']"
389,"['寶達 - 紅衫魚 (已去除魚鱗及內臟) (冰鮮) (冷凍 0-4°C)', '$ 48.00']"
390,"['寶達 - 活凍紅鮪 (已去除魚鱗及內臟) (冰鮮 0-4度)', '$ 55.00']"
391,"['金星牌 Superstar - 阿拉斯加急凍狹鱈魚柳，無皮無骨', '$ 25.00']"
392,"['寶達 - 花尾龍躉魚扒 (已去除魚鱗及內臟) (冰鮮)', '$ 80.00']"
393,"['寶達 - 日式蒲燒鰻魚 (125g +- 15g) (急凍-18°C)#海鮮#炭燒#撈飯', '$ 39.90']"
394,"['CookCookLand - 挪威三文魚魚頭 (開半) 約300-400g (急凍)', '$ 59.00']"
395,"['本土養殖 - 本福鯧魚扒XL（石鯧魚扒）無須再洗 一開即煮（急凍）', '$ 247.00']"
396,"['CookCookLand - 挪威大西洋鯖魚柳 (一條) 約142g (急凍)', '$ 20.00']"
397,"['鯨魚仔 - 開邊黃花魚(急凍140g+) #海鮮 #燒烤 #小菜', '$ 24.00']"
398,"['漁鮮快遞  - (((3包裝))) 台灣秋刀魚1條 (約80g)(急凍)', '$ 24.00']"
399,"['鵬鵬凍肉 - 脆肉鯇魚片 (250克 - 急凍-18°C)', '$ 45.00']"
400,"['34° Natural Food - 特大急凍三文魚腩條 (急凍 -18°C) 500g #急凍#海鮮#氣炸#煎焗#三文魚#特大', '$ 68.00']"
401,"['鱻 - 重慶麻辣水煮魚(急凍 -18℃) ', '$ 68.00']"
